sex,amp,peak,n170,de
f,-6.34670656345797,-8.13922657572478,-3.68416379147185,-4.63751888214879
f,0.211935815089224,-4.84581983985694,0.611176836150406,-4.67872778428208
f,-1.92577792558554,-4.4677502713124,-3.57063114520739,-4.63910751856398
f,-3.97357293998089,3.05022876289802,4.1048530886929,-4.61983552888105
f,-2.11838077302907,-3.45997389176241,-0.932961817372098,-4.67926266065278
f,-3.06392861157628,-1.77180600335457,-0.28476089373652,-4.62936262328617
f,-2.15905268392837,-8.02242082355999,-4.11951560989941,-4.66037419670924
f,-2.26641330966305,-1.23315951658297,1.33101179758702,-4.7328684732869
f,1.69018250989033,-0.774888703980833,-0.270138786769513,-4.66475030561722
f,-0.547911547978481,-4.08598655003164,0.402294390112276,-4.71417888211065
f,2.24319870405455,-1.08310755053169,1.44164909052236,-4.67985623266761
f,6.62282257913303,-5.65530299556235,-1.21630569666792,-4.61077897302981
f,6.39576644671757,-5.93247101520338,0.658199475399804,-4.61523442250685
f,-0.93228462262143,-3.7822851327803,-4.74603422472379,-4.72248401642659
f,-1.76274910934898,-5.33734093689736,-4.17830787703012,-4.64842845681309
f,-10.2564946517672,1.43820164848384,3.05544323502728,-4.55546433000533
f,2.30704364770565,1.56363291902605,2.85785797159005,-4.65997955287256
f,2.60835210272006,2.45088743044131,3.87700492117845,-4.7068190764603
f,0.0952421148252169,-2.1780517995009,2.6629435313825,-4.66828854919052
f,-2.73510842290891,-8.22956032046883,-3.83187455521951,-4.63927637873595
f,1.39597955162735,-6.50922390980674,-5.13413517066224,-4.62576394833077
f,4.74104834929578,-6.93512630380678,-5.47029856828314,-4.59892997427138
f,-3.13442741042693,-10.510339863476,-5.34147993553904,-4.65896647740111
f,-0.511604213759463,-4.01965344800606,2.83367803419183,-4.63524392557107
f,-9.97058300869001,-2.95587377954327,0.591593121855803,-4.59376984256385
f,0.78407666895232,2.78127244219705,5.24181604616644,-4.71159067071443
f,-0.42638752580292,-2.27875447054839,2.81289808204745,-4.69844460254016
f,1.24342239478962,-3.42216980604922,-0.891310603175745,-4.65198707849463
f,-5.92721216086838,-7.52936242598396,-5.81923107793662,-4.64700724859219
f,-5.81090952403702,2.30295674395791,4.04446348659531,-4.63562619942105
f,4.00503311247805,-9.11474879200768,-7.76251308643241,-4.6967213575044
f,-1.66127145928009,0.614922047812095,0.465951559956203,-4.68598744863969
f,-2.19557634623232,-1.32441863482686,2.00548231073317,-4.70085082075341
f,2.74470348399663,1.13956092272069,3.3241704582615,-4.79332965161486
f,-10.0045313626859,2.10677627175968,4.18472473556386,-4.59107018337122
f,3.05076252094049,2.0525207127809,2.03791140340803,-4.73727036580578
f,0.359842690530255,-9.33110724751966,-6.98609703658106,-4.72396208278011
f,-0.185769194934152,-3.44528841872115,-2.54114956013107,-4.67128904987891
f,3.52044520859163,1.35027688021261,2.99737781258788,-4.69932741401195
f,-7.63252538814681,3.76203980030191,4.57487620618368,-4.64103355002966
f,-0.650858147422873,-7.25874799235338,-2.2138844052331,-4.68287681017531
f,-6.78182095699105,0.679048675899241,1.36474029931554,-4.60018502107853
f,0.157621270284107,-0.25354518301805,1.94896708353743,-4.72272691246084
f,-2.28865322478869,-7.4192064122732,-1.03403462033815,-4.76244413687151
f,-2.24574585102611,0.161331168866948,1.56927222921301,-4.65907547639791
f,-1.88377535967786,0.171460769685632,3.95642966846911,-4.63380788251226
f,-4.99766781179118,0.267607949555772,4.18795827055505,-4.61622308456532
f,-3.63623280099595,2.36304029555113,3.45522928074456,-4.62691051992209
f,-2.48183181477187,-0.0424446443185453,4.36621976787447,-4.67641829090106
f,3.57747923301366,-4.11814250386314,-3.94794546340167,-4.67496630105497
f,-3.03563351076649,-7.25440297694822,-6.33358193554168,-4.58727166322386
f,3.43170763453514,2.2198838820813,3.58622260015646,-4.66291837094942
f,-2.68127983563308,-0.268084309230726,2.17497156583225,-4.6741103531961
f,-3.12121992918946,-1.4751773112362,-1.27442034979626,-4.62505699406662
f,0.893949093481721,-4.89342998788968,-1.57547561285206,-4.70223323107785
f,4.73580564719144,-1.98032672822436,0.575213510829265,-4.67075739655953
f,-3.9476347979717,-2.35480654940737,-0.110635830351756,-4.73868685009336
f,2.392723062167,3.07313948113243,6.38595979564765,-4.76022858398032
f,-5.58025014111188,-1.95805443760339,1.92891774354598,-4.70822780442243
f,-6.34589427275974,0.0397872475114541,2.5766077491318,-4.75580559804252
f,-0.266672159802898,-3.15708472715478,1.34479221502616,-4.79147909003351
f,3.46066531213278,-2.34631803973314,-0.296977051874287,-4.6763770673868
f,2.72248595807268,-2.75392918807564,-0.716186138656305,-4.73463114119253
f,-3.26300223936214,-4.942310485254,-4.0717458930868,-4.75554423772918
f,-5.28073888847843,-4.84467950513236,-1.9951622531361,-4.71713962027997
f,2.08917145100204,-14.9603184524309,-8.36892252706648,-4.70527336906363
f,1.043027535413,-8.53277095621559,-4.65839243732796,-4.70291292713167
f,-0.609577127502173,-2.71090482394467,-0.818047360735767,-4.82496239621355
f,-0.177516529623031,2.65756873192317,4.67371980467591,-4.79334263619728
f,-0.54079208635538,0.63216125706273,1.5853601305191,-4.69506750198962
f,-6.21956462687599,-4.07203656858013,-1.36574173296166,-4.70916949095181
f,0.045198190517488,3.89222960163747,7.20521324856884,-4.75923421609265
f,-0.667620195110684,-9.55189278895163,-6.81323248089088,-4.84571894514437
f,-6.4128944743199,-2.90453267016171,-1.5973227673292,-4.60792357932138
f,-8.41681902937245,-5.6162574189905,-4.36256700514803,-4.64922141845633
f,-0.939422174748789,0.595694230643085,1.55893157473926,-4.70062024138387
f,3.76053830291129,2.24729940787354,4.32786270543615,-4.68331944198723
f,5.48209391769113,0.111528125088915,1.7093833025885,-4.62480735717611
f,2.02457684224401,-0.736720381901926,3.07380376472601,-4.72462076697038
f,-5.47505018618447,-0.23688049333341,1.68767019897137,-4.7032548177465
f,5.44507549745081,-3.77097737549616,-3.88683875120352,-4.62406546270525
f,-0.995856589654476,2.70475901274396,4.50685120435877,-4.74242950695961
f,-1.76294057643403,-8.09051386951261,-5.45109769443102,-4.7010440227639
f,-5.99730271651318,-6.34062401926769,-3.94586054900934,-4.68745360906318
f,-6.65971098611088,-7.73759925320618,-5.5230504991859,-4.6591558310556
f,5.63889699677195,-1.36414467246932,0.780755227582091,-4.69425212189604
f,3.37320534887924,-2.5412904599669,-2.86599893658469,-4.82536433532889
f,6.54359281344909,-12.4668501917153,-8.92438586666909,-4.75493760672118
f,-4.9575885669011,0.260615666983808,3.11974674311837,-4.66680708675504
f,-4.40617205552593,-2.19041190434831,-1.33321998634642,-4.68230554809681
f,0.750408168999074,-0.733422761331345,1.56398425297928,-4.73284110610957
f,-2.11998903189923,-1.00440957154819,-0.969393205467303,-4.66762650987907
f,-0.672820641645479,-16.9050738999303,-13.0583460936712,-4.62475547398307
f,-5.11372687371946,-2.45811404009806,-0.473695889331002,-4.68050987908737
f,-4.39136660412825,2.21908953813441,4.35014905624255,-4.70917050677949
f,-4.15769522511231,-2.09103915469237,-0.717490281736209,-4.65630999165358
f,-0.444716395562394,-0.954826841808831,-0.210552001038418,-4.70625013614589
